service_id,date,exception_type
422503,20221211,1
194803,20221211,1
422504,20221212,1
13304,20221212,1
421504,20221212,1
189904,20221212,1
422504,20221213,1
13304,20221213,1
421504,20221213,1
189904,20221213,1
422504,20221214,1
13304,20221214,1
421504,20221214,1
189904,20221214,1
422504,20221215,1
13304,20221215,1
421504,20221215,1
189904,20221215,1
422504,20221216,1
276904,20221216,1
13304,20221216,1
421504,20221216,1
189904,20221216,1
422502,20221217,1
421602,20221217,1
190002,20221217,1
247302,20221217,1
422503,20221218,1
194803,20221218,1
422504,20221219,1
421504,20221219,1
189904,20221219,1
102904,20221219,1
422504,20221220,1
421504,20221220,1
189904,20221220,1
102904,20221220,1
422504,20221221,1
421504,20221221,1
189904,20221221,1
102904,20221221,1
422504,20221222,1
421504,20221222,1
189904,20221222,1
102904,20221222,1
422504,20221223,1
276904,20221223,1
421504,20221223,1
193604,20221223,1
102904,20221223,1
18,20221224,1
2,20221224,2
19,20221225,1
3,20221225,2
13,20221226,1
4,20221226,2
422504,20221227,1
421504,20221227,1
193604,20221227,1
102904,20221227,1
422504,20221228,1
421504,20221228,1
193604,20221228,1
102904,20221228,1
422504,20221229,1
421504,20221229,1
193604,20221229,1
102904,20221229,1
422504,20221230,1
276904,20221230,1
421504,20221230,1
193604,20221230,1
102904,20221230,1
11,20221231,1
2,20221231,2
20,20230101,1
3,20230101,2
27,20230102,1
4,20230102,2
422504,20230103,1
421504,20230103,1
422504,20230104,1
421504,20230104,1
189904,20230104,1
422504,20230105,1
421504,20230105,1
189904,20230105,1
422504,20230106,1
276904,20230106,1
421504,20230106,1
189904,20230106,1
422502,20230107,1
421602,20230107,1
190002,20230107,1
247302,20230107,1
422503,20230108,1
194803,20230108,1
422504,20230109,1
13304,20230109,1
421504,20230109,1
189904,20230109,1
422504,20230110,1
13304,20230110,1
421504,20230110,1
189904,20230110,1
422504,20230111,1
13304,20230111,1
421504,20230111,1
189904,20230111,1
422504,20230112,1
13304,20230112,1
421504,20230112,1
189904,20230112,1
422504,20230113,1
276904,20230113,1
13304,20230113,1
421504,20230113,1
189904,20230113,1
422502,20230114,1
421602,20230114,1
190002,20230114,1
247302,20230114,1
422503,20230115,1
190103,20230115,1
14,20230116,1
4,20230116,2
422504,20230117,1
13304,20230117,1
421504,20230117,1
193604,20230117,1
422504,20230118,1
13304,20230118,1
421504,20230118,1
189904,20230118,1
422504,20230119,1
13304,20230119,1
421504,20230119,1
189904,20230119,1
422504,20230120,1
276904,20230120,1
13304,20230120,1
421504,20230120,1
189904,20230120,1
422502,20230121,1
421602,20230121,1
190002,20230121,1
247302,20230121,1
422503,20230122,1
194803,20230122,1
422504,20230123,1
13304,20230123,1
421504,20230123,1
189904,20230123,1
422504,20230124,1
13304,20230124,1
421504,20230124,1
189904,20230124,1
422504,20230125,1
13304,20230125,1
421504,20230125,1
189904,20230125,1
422504,20230126,1
13304,20230126,1
421504,20230126,1
189904,20230126,1
422504,20230127,1
276904,20230127,1
13304,20230127,1
421504,20230127,1
189904,20230127,1
422502,20230128,1
421602,20230128,1
190002,20230128,1
247302,20230128,1
422503,20230129,1
194803,20230129,1
422504,20230130,1
13304,20230130,1
421504,20230130,1
189904,20230130,1
422504,20230131,1
13304,20230131,1
421504,20230131,1
189904,20230131,1
422504,20230201,1
13304,20230201,1
421504,20230201,1
189904,20230201,1
422504,20230202,1
13304,20230202,1
421504,20230202,1
189904,20230202,1
422504,20230203,1
276904,20230203,1
13304,20230203,1
421504,20230203,1
189904,20230203,1
422502,20230204,1
421602,20230204,1
190002,20230204,1
247302,20230204,1
422503,20230205,1
194803,20230205,1
422504,20230206,1
13304,20230206,1
421504,20230206,1
189904,20230206,1
422504,20230207,1
13304,20230207,1
421504,20230207,1
189904,20230207,1
422504,20230208,1
13304,20230208,1
421504,20230208,1
189904,20230208,1
422504,20230209,1
13304,20230209,1
421504,20230209,1
189904,20230209,1
422504,20230210,1
276904,20230210,1
13304,20230210,1
421504,20230210,1
189904,20230210,1
422502,20230211,1
421602,20230211,1
190002,20230211,1
247302,20230211,1
422503,20230212,1
194803,20230212,1
422504,20230213,1
13304,20230213,1
421504,20230213,1
189904,20230213,1
99504,20230214,1
13304,20230214,1
421504,20230214,1
189904,20230214,1
99504,20230215,1
13304,20230215,1
421504,20230215,1
189904,20230215,1
99504,20230216,1
13304,20230216,1
421504,20230216,1
189904,20230216,1
162004,20230217,1
13304,20230217,1
189904,20230217,1
287002,20230218,1
190002,20230218,1
247302,20230218,1
419403,20230219,1
190103,20230219,1
21,20230220,1
4,20230220,2
422504,20230221,1
99504,20230221,1
13304,20230221,1
421504,20230221,1
189904,20230221,1
422504,20230222,1
13304,20230222,1
421504,20230222,1
189904,20230222,1
422504,20230223,1
13304,20230223,1
421504,20230223,1
189904,20230223,1
422504,20230224,1
276904,20230224,1
13304,20230224,1
421504,20230224,1
189904,20230224,1
422502,20230225,1
421602,20230225,1
190002,20230225,1
247302,20230225,1
