stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
391,102156,4015 W @ 4878 S,,40.663345,-111.987053,,,,,,0
506,102157,4015 W @ 5000 S,,40.66028,-111.987056,,,,,,0
870,135009,Constitution Blvd @ 3662 S,,40.692636,-111.958136,,,,,,1
887,135026,Constitution Blvd @ 3601 S,3601 S Constitution Blvd & 3500 S,40.69391,-111.957789,,,,,,1
1022,118161,University Hospital,North Medical Dr & 50 N,40.772535,-111.837594,,,,,,1
1024,117229,Redwood Rd / 700 N (SB),683 N Redwood Road & 700 N,40.784353,-111.939554,,,,,,0
1029,812002,State St @ 101 S,101 S State St & 800 N,40.295471,-111.694104,,,,,,1
1038,812011,State St @ 830 N,830 N State St & 800 N,40.313278,-111.701888,,,,,,1
1040,812013,State St @ 1090 N,1090 N State St & 1080 N,40.317158,-111.703591,,,,,,1
1041,812014,State St @ 1220 N,1220 N State St & 1200 N,40.319878,-111.704794,,,,,,0
1045,812018,State St @ 1960 N,1960 N State St & 2000 N,40.332719,-111.712453,,,,,,0
1054,812027,State St @ 1975 N,1975 N State St & 2000 N,40.333298,-111.713371,,,,,,0
1059,812032,State St @ 1185 N,1190 N State St,40.319021,-111.704728,,,,,,0
1066,812039,State St. @ 471 N,,40.305786,-111.699015,,,,,,1
1067,812040,State St @ 381 N,State St. & 381 N,40.303694,-111.698139,,,,,,0
1071,812044,State St @ 20 S,State St. & 22 S,40.296655,-111.69507,,,,,,1
1253,125371,900 W / California Ave (NB),1319 S 900 W & W 1300 S,40.741116,-111.916761,,,,,,1
1711,135285,SLCC Transit Center (Bay F),1885 W Bruin Blvd & 1940 W,40.674518,-111.942491,,,,,,1
1725,138045,3900 S @ 2722 E,2722 E 3900 S & 2700 E,40.687021,-111.814588,,,,,,1
1742,138062,3900 S @ 2681 E,2681 E 3900 S & 2700 S,40.687138,-111.81544,,,,,,1
1760,138081,2300 E @ 4510 S,4510 S 2300 E & 4500 S,40.673866,-111.824613,,,,,,0
