route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
19930,2,5098208,Ogden,,0,1146011,224295,1,1
19930,2,5098181,Ogden,,0,1146024,224295,1,1
19930,2,5098179,Ogden,,0,1146026,224295,1,1
19930,2,5098201,Ogden,,0,1146015,224295,1,1
19930,2,5098177,Ogden,,0,1146027,224295,1,1
19930,2,5098199,Ogden,,0,1146016,224295,1,1
19930,2,5098196,Ogden,,0,1146017,224295,1,1
19930,2,5098193,Ogden,,0,1146018,224295,1,1
19930,2,5098192,Ogden,,0,1146019,224295,1,1
19930,2,5098189,Ogden,,0,1146020,224295,1,1
19930,2,5098183,Ogden,,0,1146024,224295,1,1
19930,2,5098178,Ogden,,0,1146025,224295,1,1
19930,2,5098187,Ogden,,0,1146021,224295,1,1
19930,2,5098202,Ogden,,0,1146015,224295,1,1
19930,2,5098176,Ogden,,0,1146028,224295,1,1
19930,2,5098200,Ogden,,0,1146016,224295,1,1
19930,2,5098195,Ogden,,0,1146017,224295,1,1
19930,2,5098194,Ogden,,0,1146018,224295,1,1
19930,2,5098190,Ogden,,0,1146019,224295,1,1
19930,2,5098185,Ogden,,0,1146022,224295,1,1
19930,2,5098204,Ogden,,0,1146014,224295,1,1
19930,2,5098182,Ogden,,0,1146024,224295,1,1
19930,2,5098180,Ogden,,0,1146025,224295,1,1
19930,2,5098186,Ogden,,0,1146021,224295,1,1
19930,2,5098203,Ogden,,0,1146015,224295,1,1
19930,2,5098184,Ogden,,0,1146023,224302,1,1
19930,2,5098206,Ogden,,0,1146013,224295,1,1
19930,2,5098207,Ogden,,0,1146012,224295,1,1
19930,2,5098198,Ogden,,0,1146016,224295,1,1
19930,2,5098197,Ogden,,0,1146017,224295,1,1
19930,2,5098191,Ogden,,0,1146019,224295,1,1
19930,2,5098205,Ogden,,0,1146014,224295,1,1
19930,2,5098188,Ogden,,0,1146021,224295,1,1
19930,2,5098235,Downtown Salt Lake City,,1,1146015,224309,1,1
19930,2,5098231,Downtown Salt Lake City,,1,1146016,224309,1,1
19930,2,5098230,Downtown Salt Lake City,,1,1146017,224309,1,1
19930,2,5098225,Downtown Salt Lake City,,1,1146018,224309,1,1
19930,2,5098222,Downtown Salt Lake City,,1,1146019,224309,1,1
19930,2,5098221,Downtown Salt Lake City,,1,1146020,224309,1,1
19930,2,5098214,Downtown Salt Lake City,,1,1146024,224309,1,1
19930,2,5098212,Downtown Salt Lake City,,1,1146026,224309,1,1
19930,2,5098218,Downtown Salt Lake City,,1,1146021,224309,1,1
19930,2,5098236,Downtown Salt Lake City,,1,1146015,224309,1,1
19930,2,5098210,Downtown Salt Lake City,,1,1146027,224309,1,1
19930,2,5098232,Downtown Salt Lake City,,1,1146016,224309,1,1
19930,2,5098228,Downtown Salt Lake City,,1,1146017,224309,1,1
19930,2,5098226,Downtown Salt Lake City,,1,1146018,224309,1,1
19930,2,5098223,Downtown Salt Lake City,,1,1146019,224309,1,1
19930,2,5098217,Downtown Salt Lake City,,1,1146022,224309,1,1
19930,2,5098216,Downtown Salt Lake City,,1,1146024,224309,1,1
19930,2,5098211,Downtown Salt Lake City,,1,1146025,224309,1,1
19930,2,5098219,Downtown Salt Lake City,,1,1146021,224309,1,1
19930,2,5098237,Downtown Salt Lake City,,1,1146015,224309,1,1
19930,2,5098209,Downtown Salt Lake City,,1,1146028,224309,1,1
19930,2,5098233,Downtown Salt Lake City,,1,1146016,224309,1,1
19930,2,5098229,Downtown Salt Lake City,,1,1146017,224309,1,1
19930,2,5098227,Downtown Salt Lake City,,1,1146018,224309,1,1
19930,2,5098224,Downtown Salt Lake City,,1,1146019,224309,1,1
19930,2,5098238,Downtown Salt Lake City,,1,1146014,224309,1,1
19930,2,5098215,Downtown Salt Lake City,,1,1146024,224309,1,1
19930,2,5098213,Downtown Salt Lake City,,1,1146025,224309,1,1
19930,2,5098220,Downtown Salt Lake City,,1,1146021,224309,1,1
19930,2,5098234,Downtown Salt Lake City,,1,1146015,224309,1,1
19930,2,5098239,Downtown Salt Lake City,,1,1146013,224309,1,1
19930,2,5098240,Downtown Salt Lake City,,1,1146012,224309,1,1
79372,2,5098380,Poplar Grove (400 S + Redwood Rd),,0,1148632,224318,1,1
79372,2,5098389,Poplar Grove (400 S + Redwood Rd),,0,1147583,224318,1,1
79372,2,5098384,Poplar Grove (400 S + Redwood Rd),,0,1147582,224318,1,1
79372,2,5098387,Poplar Grove (400 S + Redwood Rd),,0,1148632,224318,1,1
79372,2,5098382,Poplar Grove (400 S + Redwood Rd),,0,1147583,224318,1,1
79372,2,5098383,Poplar Grove (400 S + Redwood Rd),,0,1147582,224318,1,1
79372,2,5098388,Poplar Grove (400 S + Redwood Rd),,0,1148632,224318,1,1
79372,2,5098381,Poplar Grove (400 S + Redwood Rd),,0,1147583,224318,1,1
79372,2,5098379,Poplar Grove (400 S + Redwood Rd),,0,1147582,224318,1,1
79372,2,5098390,Poplar Grove (400 S + Redwood Rd),,0,1148645,224318,1,1
79372,2,5098385,Poplar Grove (400 S + Redwood Rd),,0,1147583,224318,1,1
79372,2,5098386,Poplar Grove (400 S + Redwood Rd),,0,1147582,224318,1,1
79372,2,5098391,Poplar Grove (400 S + Redwood Rd),,0,1148645,224318,1,1
79372,2,5098392,Poplar Grove (400 S + Redwood Rd),,0,1147583,224318,1,1
79372,2,5098393,Poplar Grove (400 S + Redwood Rd),,0,1147582,224318,1,1
79372,2,5098394,Poplar Grove (400 S + Redwood Rd),,0,1148645,224318,1,1
79372,2,5098408,Olympus Cove (Wasatch Blvd P+R),,1,1147582,224319,1,1
79372,2,5098406,Olympus Cove (Wasatch Blvd P+R),,1,1148632,224319,1,1
79372,2,5098401,Olympus Cove (Wasatch Blvd P+R),,1,1147583,224319,1,1
79372,2,5098404,Olympus Cove (Wasatch Blvd P+R),,1,1147582,224319,1,1
79372,2,5098397,Olympus Cove (Wasatch Blvd P+R),,1,1148632,224319,1,1
79372,2,5098399,Olympus Cove (Wasatch Blvd P+R),,1,1147583,224319,1,1
79372,2,5098405,Olympus Cove (Wasatch Blvd P+R),,1,1147582,224319,1,1
79372,2,5098396,Olympus Cove (Wasatch Blvd P+R),,1,1148632,224319,1,1
79372,2,5098395,Olympus Cove (Wasatch Blvd P+R),,1,1147583,224319,1,1
79372,2,5098407,Olympus Cove (Wasatch Blvd P+R),,1,1147582,224319,1,1
79372,2,5098402,Olympus Cove (Wasatch Blvd P+R),,1,1148645,224319,1,1
79372,2,5098403,Olympus Cove (Wasatch Blvd P+R),,1,1147583,224319,1,1
79372,2,5098398,Olympus Cove (Wasatch Blvd P+R),,1,1147582,224319,1,1
79372,2,5098400,Olympus Cove (Wasatch Blvd P+R),,1,1148645,224319,1,1
